勘定科目コード,勘定科目名,補助科目コード,補助科目名,ｶﾅ索引,補助科目正式名,正式名ﾌﾘｶﾞﾅ,借方税区分コード,借方税区分名,貸方税区分コード,貸方税区分名,消費税自動計算,消費税端数処理,郵便番号,住所１,住所２,TEL,FAX,振込先,締日,支払日,法人番号,事業者区分,適格請求書発行事業者の登録番号,デジタルインボイス受信
111,現金,1,札幌支店,ｻｯﾎﾟﾛ,札幌支店,ｻｯﾎﾟﾛ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
111,現金,2,仙台事業所,ｾﾝﾀﾞｲ,仙台事業所,ｾﾝﾀﾞｲ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
111,現金,3,東京支店,ﾄｳｷｮｳ,東京支店,ﾄｳｷｮｳ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
111,現金,4,福岡事業所,ﾌｸｵｶｼ,福岡事業所,ﾌｸｵｶｼｼﾞｷﾞｮｳｼｮ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
111,現金,5,大阪事業所,ｵｵｻｶｼ,大阪事業所,ｵｵｻｶ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
111,現金,6,名古屋事務所,ﾅｺﾞﾔｼ,名古屋事務所,ﾅｺﾞﾔｼ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
131,普通預金,1,空知信金札幌西,ｿﾗﾁｼﾝ,空知信金札幌西支店,ｿﾗﾁｼﾝｼﾃﾝ,0,対象外,0,対象外,0,9,,,,011-666-8111,,0,0,0,,3,,0
131,普通預金,2,空知信金福岡用,ｿﾗﾁｼﾝ,空知信用金庫札幌西（福岡用）,ｿﾗﾁｼﾝﾖｳｷﾝｺｻｯﾎﾟﾛﾆｼ(ﾌｸｵｶﾖｳ),0,対象外,0,対象外,0,9,,,,011-666-8111,,0,0,0,,3,,0
131,普通預金,3,空知信金仙台用,ｿﾗﾁｼﾝ,空知信用金庫札幌西（仙台用）,ｿﾗﾁｼﾝﾖｳｷﾝｺｻｯﾎﾟﾛﾆｼ(ｾﾝﾀﾞｲﾖｳ),0,対象外,0,対象外,0,9,,,,011-666-8111,,0,0,0,,3,,0
131,普通預金,4,北洋銀行,ﾎｸﾖｳｷ,北洋銀行北五条通支店,ﾎｸﾖｳｷﾞﾝｺｳｷﾀｺﾞｼﾞｮｳﾄﾞｵﾘｼﾃﾝ,0,対象外,0,対象外,0,9,,,,011-611-2251,,0,0,0,,3,,0
131,普通預金,5,道銀鳥居前,ﾎｯｶｲﾄ,北海道銀行鳥居前支店,ﾎｯｶｲﾄﾞｳｷﾞﾝｺｳﾄﾘｲﾏｴｼﾃﾝ,0,対象外,0,対象外,0,9,,,,011-611-6421,,0,0,0,,3,,0
131,普通預金,6,北海道信用金庫,ﾎｯｶｲﾄ,北海道信用金庫中央西支店,ﾎｯｶｲﾄﾞｼﾝﾖｳｷﾝｺﾁｭｳｵｳﾆｼｼﾃﾝ,0,対象外,0,対象外,0,9,,,,011-611-5311,,0,0,0,,3,,0
131,普通預金,7,三井住友銀行,ﾐﾂｲｽﾐ,三井住友銀行札幌支店,ﾐﾂｲｽﾐｻｯﾎﾟﾛｼﾃﾝ,0,対象外,0,対象外,0,9,,,,011-241-2355,,0,0,0,,3,,0
131,普通預金,8,ゆうちょ銀行,ﾕｳﾁｮｷ,ゆうちょ銀行,ﾕｳﾁｮｷﾞﾝｺｳ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
131,普通預金,9,空知信金大阪用,ｿﾗﾁｼﾝ,空知信金大阪用,ｿﾗﾁｼﾝ,0,対象外,0,対象外,0,9,,,,,,0,0,0,,3,,0
131,普通預金,10,北陸銀行,ﾎｸﾘｸｷ,北陸銀行,ﾎｸﾘｸｷ,0,対象外,0,対象外,0,9,060-8691,札幌市中央区大通西2-5,,011-241-7531,,0,0,0,,3,,0
